Category,Competitor Name,Has DTC Website? (Yes/No),DTC Website URL,Search Keyword,Monthly Search Volume (India),Country,YoY Trend (Rising/Stable/Falling),Search Volume Score (1-5),DTC Presence %,Notes
Namkeen,Samosa Singh,Yes,samosasingh.com,Samosa Singh,"2,000",India,Growing,3,100%,Offers Indian snacks like samosas and kachoris via cloud kitchens.
Namkeen,The Filling Station,Yes,thefillingstation.in,The Filling Station,900,India,Stable,2,100%,Provides nutrient-rich laddoos and oil-free snacks.
Namkeen,FruitTreat,Yes,fruittreat.com,FruitTreat,700,India,Stable,2,100%,Offers vacuum-fried healthy snacks like okra chips.
Namkeen,Prataap Snacks (Yellow Diamond),Yes,yellowdiamond.in,Yellow Diamond,"6,000",India,Growing,4,100%,Offers a variety of affordable and delicious snack options.
Namkeen,Too Yumm!,Yes,tooyumm.com,Too Yumm,"8,000",India,Growing,4,100%,Focuses on healthier snack options without compromising on taste.
Namkeen,Chitale Bandhu,Yes,chitalebandhu.in,Chitale Bandhu,"5,500",India,Stable,3,100%,Renowned for traditional snacks like bhakarwadi and farsan.
Namkeen,Kurkure,No,N/A,Kurkure,"45,000",India,Stable,5,0%,Popular snack brand owned by PepsiCo India.
Namkeen,Bikaji Foods,Yes,bikaji.com,Bikaji,"12,000",India,Growing,4,100%,Offers a wide range of traditional Indian snacks and sweets.
Namkeen,Balaji Wafers,No,N/A,Balaji Wafers,"10,000",India,Stable,4,0%,Known for its variety of chips and namkeens.
Namkeen,Bingo! (ITC),No,N/A,Bingo Snacks,"8,000",India,Stable,4,0%,Offers innovative snack options like Mad Angles and Potato Chips.
Namkeen,Cornitos,Yes,cornitos.in,Cornitos,"3,500",India,Growing,3,100%,Specializes in nacho crisps and roasted snacks.
Namkeen,Lays,No,N/A,Lays Chips,"50,000",India,Stable,5,0%,Popular potato chips brand owned by PepsiCo India.
Namkeen,Kurkure,No,N/A,Kurkure,"45,000",India,Stable,5,0%,Spiced crunchy puffcorn snacks by PepsiCo India.
Sweets,Bikano,Yes,Bikano Shop,"""buy Indian sweets online""","5,400",India,Rising,4,60%,Known for traditional sweets
Sweets,Bikanervala,Yes,Bikanervala Shop,"""buy Indian sweets online""","5,400",India,Rising,4,60%,Offers a wide range of sweets
Sweets,Prabhuji,No,Not available,"""buy Indian sweets online""","5,400",India,Rising,2,0%,Regional presence
Sweets,OyeGifts,Yes,OyeGifts Shop,"""buy Indian sweets online""","5,400",India,Rising,4,60%,Popular for gifting purposes
Sweets,Haldiram's,Yes,Haldiram Shop,"""buy haldiram sweets online""","12,000",India,Stable,5,100%,Leading brand in sweets category
Sweets,Anand Sweets,Yes,Anand Sweets Shop,"""buy Anand sweets online""","5,000",India,Stable,4,60%,Popular in North India
Sweets,Laddoos.com,Yes,Laddoos Shop,"""buy laddoos online""","4,800",India,Rising,4,70%,Focus on laddoos and sweets
Sweets,Kesar Sweets,Yes,Kesar Sweets Shop,"""buy Kesar sweets online""","3,200",India,Stable,3,50%,Regional sweet shop
Sweets,Divya Sweets,No,Not available,"""buy Divya sweets online""","3,000",India,Stable,2,0%,Regional sweet shop
Sweets,Anand Sweets,Yes,Anand Sweets,buy Anand sweets online,"2,000",India,Rising,3,70%,Popular in South India.
Sweets,Chitale Bandhu Mithaiwale,Yes,Chitale Bandhu,buy Chitale sweets online,"2,500",India,Rising,3,75%,Renowned for Bakarwadi and sweets.
Sweets,Kesar Sweets,Yes,Kesar Sweets,buy Kesar sweets online,"1,800",India,Stable,2,60%,Offers a variety of traditional sweets.
Sweets,Doodh Misthan Bhandar,Yes,DMB Sweets,buy DMB sweets online,"1,600",India,Rising,3,60%,Known for sweets and snacks in Jaipur.
Sweets,Laddoos.com,Yes,Laddoos,buy laddoos online,"1,500",India,Rising,3,65%,Specializes in various types of laddoos.
Sweets,Narayanji Gajak Wale,Yes,Narayanji Gajak,buy Narayanji gajak online,"1,200",India,Stable,2,50%,Known for gajak and other sweets.
Sweets,Jalaram Sweets,Yes,Jalaram Sweets,buy Jalaram sweets online,"1,100",India,Stable,2,50%,Offers a range of traditional sweets.
Sweets,Gulab Sweets,Yes,Gulab Sweets,buy Gulab sweets online,"1,300",India,Rising,3,60%,Known for quality sweets in Delhi.
Sweets,Jhama Sweets,Yes,Jhama Sweets,buy Jhama sweets online,"1,200",India,Stable,2,50%,Popular in Mumbai for sweets.
Sweets,Vipul Dudhiya Sweets,Yes,Vipul Sweets,buy Vipul sweets online,"1,100",India,Stable,2,50%,Offers a variety of traditional sweets.
Sweets,Sukhadia's,Yes,sukhadia.com,Sukhadia's,"1,000",India,Stable,3,100%,Offers premium Indian sweets and snacks with a rich legacy.
Sweets,Distacart,Yes,distacart.com,Distacart,"2,500",India,Growing,3,100%,Sells a variety of Indian sweets from well-known brands.
Sweets,Oorla,Yes,oorla.com,Oorla,900,India,Stable,2,100%,Brings authentic Indian sweets and snacks sourced directly from origin.
Sweets,Snackative,Yes,snackative.com,Snackative,700,India,Stable,2,100%,Offers a wide variety of traditional South Indian sweets and snacks.
Sweets,Native Sweets Express,Yes,nativesweetsexpress.com,Native Sweets Express,500,India,Stable,1,100%,Provides authentic South Indian sweets and snacks delivered worldwide.
Sweets,Gits Food,Yes,gitsfood.com,Gits Food,"5,000",India,Stable,4,100%,Known for ready-to-eat Indian sweets and snack mixes.
Sweets,Sweet Karam Coffee,Yes,sweetkaramcoffee.in,Sweet Karam Coffee,"1,800",India,Growing,3,100%,Offers traditional South Indian sweets and snacks.
Sweets,Skippi Ice Pops,Yes,skippi.in,Skippi Ice Pops,"2,200",India,Growing,4,100%,"Provides natural, preservative-free ice popsicles."
Sweets,The Good Bug,Yes,thegoodbug.com,The Good Bug,"1,000",India,Growing,3,100%,Focuses on gut health with probiotic-rich products.
Sweets,Namhya Foods,Yes,namhyafoods.com,Namhya Foods,"1,500",India,Growing,3,100%,Offers Ayurvedic-inspired sweets and snacks.
Sweets,MasterChow,Yes,masterchow.in,MasterChow,"2,000",India,Growing,4,100%,Provides ready-to-cook Asian sauces and noodles.
Sweets,K.C. Das Grandsons,Yes,kcdas.com,K.C. Das,"2,500",India,Stable,3,100%,Famous for its traditional Bengali sweets like Rossogolla.
Sweets,Bikanervala,Yes,bikanervala.com,Bikanervala,"4,000",India,Stable,4,100%,Offers a wide range of Indian sweets and snacks.
Sweets,Bikano,Yes,bikano.com,Bikano,"3,000",India,Stable,3,100%,"Provides premium range of namkeens, sweets, and frozen snacks."
Sweets,Mithaas,Yes,mithaas.com,Mithaas,"1,200",India,Growing,2,100%,Specializes in Indian sweets and snacks.
Sweets,Anand Sweets,Yes,anandsweets.in,Anand Sweets,"1,800",India,Growing,3,100%,Known for premium quality Indian sweets and savories.
Sweets,Chhappan Bhog,Yes,chhappanbhog.com,Chhappan Bhog,"1,500",India,Stable,2,100%,Offers a variety of Indian sweets and snacks.
Sweets,Ganguram Sweets,Yes,ganguram.com,Ganguram Sweets,"1,000",India,Stable,2,100%,Renowned for traditional Bengali sweets.
Sweets,Kandoi Bhogilal Mulchand,Yes,kandoibhogilal.com,Kandoi Sweets,900,India,Stable,2,100%,Offers traditional Gujarati sweets and snacks.
Sweets,Pulla Reddy Sweets,Yes,pullareddysweets.com,Pulla Reddy Sweets,"1,100",India,Stable,2,100%,Famous for traditional Andhra sweets.
Sweets,Adyar Ananda Bhavan,Yes,aabsweets.com,A2B Sweets,"2,200",India,Growing,3,100%,Offers a wide range of South Indian sweets and snacks.
