KPI NAME 1) Estimated Market Size (Specific Category - Indian namken),,,,,,,
"DATA COLLECTED FROM - NDTV , GLOBALNEWS , STATISTA , ECONOMICS TIMES",,,,,,,
9,Bhujia,Bingo,08-02-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Bhujia category showing growth trends and projections.,319.29,5.93
10,Fried Nuts,PepsiCo,11-07-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for PepsiCo in Fried Nuts category showing growth trends and projections.,722.45,6.15
11,Fried Nuts,ITC,16-05-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Fried Nuts category showing growth trends and projections.,967.7,7.68
12,Chanachur,Balaji Wafers,03-11-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Balaji Wafers in Chanachur category showing growth trends and projections.,781.82,5.79
13,Chivda,PepsiCo,25-05-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for PepsiCo in Chivda category showing growth trends and projections.,923.33,8.32
14,Chivda,Balaji Wafers,28-12-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Chivda category showing growth trends and projections.,921.98,8.06
15,Namkeen,Haldiram's,30-04-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Haldiram's in Namkeen category showing growth trends and projections.,948.16,14.46
16,Fried Nuts,Balaji Wafers,01-02-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Balaji Wafers in Fried Nuts category showing growth trends and projections.,458.25,14.83
17,Chanachur,Bingo,21-08-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bingo in Chanachur category showing growth trends and projections.,378.33,9.44
18,Chips,ITC,15-01-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Chips category showing growth trends and projections.,154.95,8.13
19,Namkeen,Bikaji,26-04-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Namkeen category showing growth trends and projections.,678.87,10.53
20,Chanachur,Bikaji,28-05-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Chanachur category showing growth trends and projections.,506.83,9.61
21,Fried Nuts,Lay's,07-06-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Fried Nuts category showing growth trends and projections.,689.48,8.29
22,Bhujia,Balaji Wafers,22-02-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Bhujia category showing growth trends and projections.,668.52,6.92
23,Chivda,ITC,13-03-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Chivda category showing growth trends and projections.,782.93,6.91
24,Chivda,PepsiCo,16-05-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for PepsiCo in Chivda category showing growth trends and projections.,406.1,6.73
25,Chips,Lay's,24-09-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Chips category showing growth trends and projections.,137.28,10.63
26,Chips,Balaji Wafers,28-01-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Balaji Wafers in Chips category showing growth trends and projections.,244.65,6.37
27,Chivda,Balaji Wafers,10-07-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Chivda category showing growth trends and projections.,904.5,14.35
28,Chivda,Bikaji,07-03-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bikaji in Chivda category showing growth trends and projections.,518.11,11.36
29,Bhujia,Bingo,29-03-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bingo in Bhujia category showing growth trends and projections.,536.83,9.78
30,Chanachur,ITC,24-01-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chanachur category showing growth trends and projections.,516.49,14.25
31,Bhujia,Lay's,14-01-2025,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Bhujia category showing growth trends and projections.,191.63,9.86
32,Bhujia,Bingo,21-07-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Bhujia category showing growth trends and projections.,815.38,12.72
33,Chivda,Bingo,17-10-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Chivda category showing growth trends and projections.,189.08,13.08
34,Namkeen,Lay's,07-09-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Lay's in Namkeen category showing growth trends and projections.,649.36,7.29
35,Chivda,Bikaji,23-10-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bikaji in Chivda category showing growth trends and projections.,545.57,6.82
36,Chanachur,Lay's,14-08-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Chanachur category showing growth trends and projections.,101.65,12.63
37,Chips,ITC,16-02-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chips category showing growth trends and projections.,329.36,8.52
38,Chanachur,ITC,27-07-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for ITC in Chanachur category showing growth trends and projections.,979.65,14.53
39,Namkeen,Balaji Wafers,11-07-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Namkeen category showing growth trends and projections.,785.08,11.71
40,Bhujia,Bingo,09-10-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Bhujia category showing growth trends and projections.,308.69,12.94
41,Fried Nuts,ITC,30-10-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for ITC in Fried Nuts category showing growth trends and projections.,309.13,12.14
42,Fried Nuts,Balaji Wafers,26-11-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Balaji Wafers in Fried Nuts category showing growth trends and projections.,514.15,11.07
43,Bhujia,Bikaji,09-05-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bikaji in Bhujia category showing growth trends and projections.,816.78,7.55
44,Bhujia,ITC,07-02-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Bhujia category showing growth trends and projections.,705.75,5.68
45,Namkeen,PepsiCo,01-07-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for PepsiCo in Namkeen category showing growth trends and projections.,810.6,14.86
46,Chips,Haldiram's,08-07-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Haldiram's in Chips category showing growth trends and projections.,491.59,9.31
47,Chanachur,PepsiCo,17-10-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for PepsiCo in Chanachur category showing growth trends and projections.,538.68,13.71
48,Chanachur,Balaji Wafers,06-09-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Chanachur category showing growth trends and projections.,257.46,10.95
49,Fried Nuts,Bingo,16-10-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bingo in Fried Nuts category showing growth trends and projections.,818.55,6.77
50,Bhujia,Haldiram's,28-09-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Haldiram's in Bhujia category showing growth trends and projections.,765.55,6.29
51,Namkeen,ITC,17-07-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Namkeen category showing growth trends and projections.,937.85,7.16
52,Chivda,Bikaji,15-09-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Chivda category showing growth trends and projections.,688.88,10.89
53,Fried Nuts,Bingo,18-07-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Fried Nuts category showing growth trends and projections.,613.54,14.1
54,Chivda,ITC,10-04-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for ITC in Chivda category showing growth trends and projections.,902.25,10.55
55,Fried Nuts,PepsiCo,09-06-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for PepsiCo in Fried Nuts category showing growth trends and projections.,416.66,5.99
56,Chips,Lay's,01-10-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Chips category showing growth trends and projections.,224.91,11.45
57,Chivda,Haldiram's,02-07-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Chivda category showing growth trends and projections.,256.24,5.53
58,Chanachur,ITC,28-02-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Chanachur category showing growth trends and projections.,428.55,7.81
59,Chivda,ITC,04-04-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Chivda category showing growth trends and projections.,521.3,7.82
60,Fried Nuts,ITC,15-03-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Fried Nuts category showing growth trends and projections.,752.56,7.53
61,Namkeen,Bingo,03-01-2025,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bingo in Namkeen category showing growth trends and projections.,951.93,8.53
62,Namkeen,Balaji Wafers,29-10-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Balaji Wafers in Namkeen category showing growth trends and projections.,474.62,11.47
63,Chivda,Balaji Wafers,24-09-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Balaji Wafers in Chivda category showing growth trends and projections.,761.16,6.04
64,Chanachur,Balaji Wafers,19-09-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Balaji Wafers in Chanachur category showing growth trends and projections.,327.54,12.38
65,Bhujia,Bikaji,03-12-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Bhujia category showing growth trends and projections.,169,10.11
66,Chivda,ITC,05-11-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Chivda category showing growth trends and projections.,700.6,12.59
67,Chips,Haldiram's,12-09-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Haldiram's in Chips category showing growth trends and projections.,653.77,8.52
68,Fried Nuts,Bingo,31-07-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Fried Nuts category showing growth trends and projections.,925.75,6.85
69,Chanachur,ITC,26-08-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for ITC in Chanachur category showing growth trends and projections.,483.41,6.05
70,Bhujia,ITC,01-05-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Bhujia category showing growth trends and projections.,426.81,10.81
71,Namkeen,Balaji Wafers,27-10-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Namkeen category showing growth trends and projections.,697.88,9.68
72,Namkeen,Bingo,16-12-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bingo in Namkeen category showing growth trends and projections.,937.64,9.25
73,Chivda,Haldiram's,12-10-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Chivda category showing growth trends and projections.,951.45,7.41
74,Fried Nuts,Haldiram's,16-08-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Fried Nuts category showing growth trends and projections.,325.32,11.95
75,Chips,Bingo,28-01-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Chips category showing growth trends and projections.,906.2,10.71
76,Namkeen,ITC,18-03-2025,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for ITC in Namkeen category showing growth trends and projections.,901.12,7
77,Namkeen,PepsiCo,21-05-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for PepsiCo in Namkeen category showing growth trends and projections.,742.88,8.15
78,Chivda,Haldiram's,16-07-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Haldiram's in Chivda category showing growth trends and projections.,882.26,5.73
79,Chanachur,Balaji Wafers,07-06-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Chanachur category showing growth trends and projections.,135.49,11.55
80,Chivda,Bikaji,07-09-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bikaji in Chivda category showing growth trends and projections.,443.72,9.17
81,Chanachur,Haldiram's,18-03-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Haldiram's in Chanachur category showing growth trends and projections.,375.24,6.35
82,Namkeen,Bingo,19-04-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Namkeen category showing growth trends and projections.,278.27,6.15
83,Bhujia,Haldiram's,25-12-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Haldiram's in Bhujia category showing growth trends and projections.,886.03,6.3
84,Bhujia,Lay's,09-09-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Lay's in Bhujia category showing growth trends and projections.,882.43,14.54
85,Chips,Bingo,27-06-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Chips category showing growth trends and projections.,756.08,12.4
86,Bhujia,PepsiCo,11-03-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for PepsiCo in Bhujia category showing growth trends and projections.,236.2,6.28
87,Bhujia,Bingo,19-04-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Bhujia category showing growth trends and projections.,239.12,7.95
88,Chanachur,ITC,26-05-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for ITC in Chanachur category showing growth trends and projections.,229.34,5.66
89,Chips,ITC,23-04-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chips category showing growth trends and projections.,477.8,11.6
90,Bhujia,Haldiram's,22-05-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Bhujia category showing growth trends and projections.,223.04,5.43
91,Chivda,Bikaji,16-05-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bikaji in Chivda category showing growth trends and projections.,604.43,10.89
92,Chanachur,ITC,26-10-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chanachur category showing growth trends and projections.,802.84,12.72
93,Bhujia,Haldiram's,09-01-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Bhujia category showing growth trends and projections.,331.52,5.34
94,Chivda,ITC,02-10-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for ITC in Chivda category showing growth trends and projections.,317.8,13.84
95,Bhujia,Bikaji,22-06-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bikaji in Bhujia category showing growth trends and projections.,863.8,9.18
96,Chanachur,PepsiCo,23-12-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for PepsiCo in Chanachur category showing growth trends and projections.,140.59,11.59
97,Chips,Bingo,09-04-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Chips category showing growth trends and projections.,471.32,11.29
98,Chips,Bingo,21-01-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bingo in Chips category showing growth trends and projections.,133.92,12.87
99,Bhujia,Bingo,08-04-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Bhujia category showing growth trends and projections.,950.64,9.17
100,Namkeen,Lay's,06-08-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Lay's in Namkeen category showing growth trends and projections.,451.32,10.99
101,Chips,Bingo,01-04-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bingo in Chips category showing growth trends and projections.,375.9,14.65
102,Chips,Balaji Wafers,14-05-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Balaji Wafers in Chips category showing growth trends and projections.,403.66,13.43
103,Chips,Lay's,17-02-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Lay's in Chips category showing growth trends and projections.,958.85,10.56
104,Chanachur,Bikaji,07-09-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Chanachur category showing growth trends and projections.,441.28,10.71
105,Fried Nuts,Balaji Wafers,04-10-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Fried Nuts category showing growth trends and projections.,287.1,8.06
106,Namkeen,Haldiram's,16-07-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Haldiram's in Namkeen category showing growth trends and projections.,734.28,7.47
107,Bhujia,Haldiram's,19-01-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Haldiram's in Bhujia category showing growth trends and projections.,266.32,12.8
108,Namkeen,Haldiram's,17-02-2025,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Namkeen category showing growth trends and projections.,578.43,14.32
109,Chanachur,Bikaji,10-07-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bikaji in Chanachur category showing growth trends and projections.,149.52,6.15
110,Bhujia,PepsiCo,22-08-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for PepsiCo in Bhujia category showing growth trends and projections.,505.09,10.61
111,Chivda,ITC,27-09-2023,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chivda category showing growth trends and projections.,299.76,12.05
112,Namkeen,ITC,28-09-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for ITC in Namkeen category showing growth trends and projections.,263.77,10.14
113,Chanachur,Balaji Wafers,19-01-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Chanachur category showing growth trends and projections.,958.23,8.05
114,Chivda,PepsiCo,30-09-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for PepsiCo in Chivda category showing growth trends and projections.,127.5,5.24
115,Chips,Balaji Wafers,02-07-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Balaji Wafers in Chips category showing growth trends and projections.,762.2,7.28
116,Namkeen,Lay's,29-05-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Lay's in Namkeen category showing growth trends and projections.,468.91,6.5
117,Bhujia,Balaji Wafers,08-08-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Balaji Wafers in Bhujia category showing growth trends and projections.,312.99,14.01
118,Chips,Balaji Wafers,05-07-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Chips category showing growth trends and projections.,492.66,6.17
119,Chivda,Lay's,09-10-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Chivda category showing growth trends and projections.,548.86,11.82
120,Chivda,PepsiCo,14-06-2023,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for PepsiCo in Chivda category showing growth trends and projections.,588.07,13.52
121,Chips,Balaji Wafers,12-01-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Chips category showing growth trends and projections.,103.58,6.79
122,Namkeen,Lay's,24-08-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Lay's in Namkeen category showing growth trends and projections.,756.59,14.73
123,Chivda,Haldiram's,19-02-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Haldiram's in Chivda category showing growth trends and projections.,207.78,12.61
124,Chivda,ITC,12-08-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chivda category showing growth trends and projections.,416.1,14.13
125,Fried Nuts,PepsiCo,06-04-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for PepsiCo in Fried Nuts category showing growth trends and projections.,288.57,11.44
126,Namkeen,Bikaji,26-06-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bikaji in Namkeen category showing growth trends and projections.,247.16,14.28
127,Chips,Bingo,14-08-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Bingo in Chips category showing growth trends and projections.,898.94,5.66
128,Chivda,PepsiCo,16-10-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for PepsiCo in Chivda category showing growth trends and projections.,502.81,14.54
129,Chanachur,Bingo,17-01-2025,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bingo in Chanachur category showing growth trends and projections.,509.57,9.81
130,Chips,ITC,30-04-2025,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for ITC in Chips category showing growth trends and projections.,586.85,9.02
131,Chivda,Bingo,05-09-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Chivda category showing growth trends and projections.,220.61,6.84
132,Namkeen,Bikaji,18-11-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bikaji in Namkeen category showing growth trends and projections.,703.36,6.62
133,Chips,Lay's,18-01-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Lay's in Chips category showing growth trends and projections.,210.79,10.38
