KPI - 8 TO KPI - 15 (DONE BY VARAD DEOLANKAR),,,,,,,,
,,,,,,,,
Platform,Product Name,Brand,Weight (g),Price (₹),Discount (%),Availability,Delivery Time,Product Link
Zepto,Haldiram's Masala Sev,Haldiram's,100,90,5,Out of Stock,Next Day,https://zepto.com/product/haldiram's-masala-sev
Zepto,Bingo! Navratan Mix,Bingo!,100,50,5,In Stock,Next Day,https://zepto.com/product/bingo!-navratan-mix
Swiggy Instamart,Balaji Wafers Bikaneri Bhujia,Balaji Wafers,350,50,5,In Stock,15 Minutes,https://swiggyinstamart.com/product/balaji-wafers-bikaneri-bhujia
Swiggy Instamart,Kurkure Masala Sev,Kurkure,250,30,15,Out of Stock,30 Minutes,https://swiggyinstamart.com/product/kurkure-masala-sev
Blinkit,Bikano Bikaneri Bhujia,Bikano,250,100,5,In Stock,30 Minutes,https://blinkit.com/product/bikano-bikaneri-bhujia
Blinkit,Too Yumm! Navratan Mix,Too Yumm!,300,90,25,In Stock,Next Day,https://blinkit.com/product/too-yumm!-navratan-mix
Amazon.in,Kurkure Masala Sev,Kurkure,300,30,20,Out of Stock,2 Days,https://amazon.in.com/product/kurkure-masala-sev
Blinkit,Too Yumm! Moong Dal,Too Yumm!,300,100,10,Out of Stock,Next Day,https://blinkit.com/product/too-yumm!-moong-dal
Zepto,Bikano Aloo Bhujia,Bikano,350,90,5,Out of Stock,10 Minutes,https://zepto.com/product/bikano-aloo-bhujia
BigBasket,Bikano Masala Sev,Bikano,250,90,5,In Stock,30 Minutes,https://bigbasket.com/product/bikano-masala-sev
Blinkit,Open Secret Masala Sev,Open Secret,150,60,5,In Stock,2 Days,https://blinkit.com/product/open-secret-masala-sev
Swiggy Instamart,Balaji Wafers Masala Sev,Balaji Wafers,300,40,5,Out of Stock,30 Minutes,https://swiggyinstamart.com/product/balaji-wafers-masala-sev
BigBasket,Kurkure Bikaneri Bhujia,Kurkure,250,30,10,In Stock,30 Minutes,https://bigbasket.com/product/kurkure-bikaneri-bhujia
Blinkit,Balaji Wafers Aloo Bhujia,Balaji Wafers,350,40,5,In Stock,30 Minutes,https://blinkit.com/product/balaji-wafers-aloo-bhujia
Zepto,Open Secret Masala Sev,Open Secret,300,80,20,In Stock,2 Days,https://zepto.com/product/open-secret-masala-sev
Amazon.in,Bingo! Moong Dal,Bingo!,300,90,10,In Stock,30 Minutes,https://amazon.in.com/product/bingo!-moong-dal
Zepto,Balaji Wafers Aloo Bhujia,Balaji Wafers,250,60,10,In Stock,15 Minutes,https://zepto.com/product/balaji-wafers-aloo-bhujia
Amazon.in,Bingo! Chakli,Bingo!,100,30,5,Out of Stock,10 Minutes,https://amazon.in.com/product/bingo!-chakli
Amazon.in,Balaji Wafers Mixture,Balaji Wafers,100,30,5,In Stock,30 Minutes,https://amazon.in.com/product/balaji-wafers-mixture
BigBasket,Balaji Wafers Bikaneri Bhujia,Balaji Wafers,150,100,5,In Stock,10 Minutes,https://bigbasket.com/product/balaji-wafers-bikaneri-bhujia
Flipkart Grocery,Bikano Masala Sev,Bikano,250,30,15,Out of Stock,10 Minutes,https://flipkartgrocery.com/product/bikano-masala-sev
BigBasket,Bikano Aloo Bhujia,Bikano,150,50,5,Out of Stock,2 Days,https://bigbasket.com/product/bikano-aloo-bhujia
Zepto,Haldiram's Navratan Mix,Haldiram's,350,50,5,Out of Stock,30 Minutes,https://zepto.com/product/haldiram's-navratan-mix
Swiggy Instamart,Bikano Chakli,Bikano,150,100,20,Out of Stock,30 Minutes,https://swiggyinstamart.com/product/bikano-chakli
BigBasket,Balaji Wafers Chakli,Balaji Wafers,350,40,10,In Stock,2 Days,https://bigbasket.com/product/balaji-wafers-chakli
Zepto,Haldiram's Chakli,Haldiram's,100,50,15,In Stock,2 Days,https://zepto.com/product/haldiram's-chakli
Blinkit,Balaji Wafers Masala Sev,Balaji Wafers,200,80,15,Out of Stock,Next Day,https://blinkit.com/product/balaji-wafers-masala-sev
Zepto,Open Secret Bikaneri Bhujia,Open Secret,350,30,15,In Stock,Next Day,https://zepto.com/product/open-secret-bikaneri-bhujia
Swiggy Instamart,Open Secret Moong Dal,Open Secret,400,80,20,Out of Stock,30 Minutes,https://swiggyinstamart.com/product/open-secret-moong-dal
Zepto,Kurkure Masala Sev,Kurkure,300,40,15,Out of Stock,30 Minutes,https://zepto.com/product/kurkure-masala-sev
Flipkart Grocery,Bingo! Bikaneri Bhujia,Bingo!,200,60,15,Out of Stock,15 Minutes,https://flipkartgrocery.com/product/bingo!-bikaneri-bhujia
Swiggy Instamart,Balaji Wafers Aloo Bhujia,Balaji Wafers,250,50,5,In Stock,Next Day,https://swiggyinstamart.com/product/balaji-wafers-aloo-bhujia
BigBasket,Too Yumm! Mixture,Too Yumm!,150,70,5,In Stock,2 Days,https://bigbasket.com/product/too-yumm!-mixture
Amazon.in,Haldiram's Mixture,Haldiram's,200,100,15,Out of Stock,30 Minutes,https://amazon.in.com/product/haldiram's-mixture
Blinkit,Balaji Wafers Moong Dal,Balaji Wafers,100,70,25,In Stock,Next Day,https://blinkit.com/product/balaji-wafers-moong-dal
Flipkart Grocery,Balaji Wafers Bikaneri Bhujia,Balaji Wafers,300,100,15,In Stock,2 Days,https://flipkartgrocery.com/product/balaji-wafers-bikaneri-bhujia
Zepto,Bingo! Bikaneri Bhujia,Bingo!,400,60,25,In Stock,15 Minutes,https://zepto.com/product/bingo!-bikaneri-bhujia
Zepto,Too Yumm! Chakli,Too Yumm!,100,30,5,In Stock,30 Minutes,https://zepto.com/product/too-yumm!-chakli
Blinkit,Haldiram's Navratan Mix,Haldiram's,300,70,15,In Stock,2 Days,https://blinkit.com/product/haldiram's-navratan-mix
Swiggy Instamart,Bingo! Masala Sev,Bingo!,400,80,25,Out of Stock,Next Day,https://swiggyinstamart.com/product/bingo!-masala-sev
BigBasket,Kurkure Moong Dal,Kurkure,200,30,5,Out of Stock,30 Minutes,https://bigbasket.com/product/kurkure-moong-dal
Swiggy Instamart,Too Yumm! Bikaneri Bhujia,Too Yumm!,400,40,20,In Stock,15 Minutes,https://swiggyinstamart.com/product/too-yumm!-bikaneri-bhujia
BigBasket,Open Secret Bikaneri Bhujia,Open Secret,300,100,10,Out of Stock,Next Day,https://bigbasket.com/product/open-secret-bikaneri-bhujia
Zepto,Balaji Wafers Chakli,Balaji Wafers,300,80,25,In Stock,15 Minutes,https://zepto.com/product/balaji-wafers-chakli
Zepto,Bingo! Aloo Bhujia,Bingo!,300,40,25,Out of Stock,30 Minutes,https://zepto.com/product/bingo!-aloo-bhujia
Swiggy Instamart,Too Yumm! Navratan Mix,Too Yumm!,150,30,25,In Stock,30 Minutes,https://swiggyinstamart.com/product/too-yumm!-navratan-mix
Swiggy Instamart,Bikano Navratan Mix,Bikano,400,60,10,Out of Stock,2 Days,https://swiggyinstamart.com/product/bikano-navratan-mix
Blinkit,Too Yumm! Masala Sev,Too Yumm!,250,30,25,Out of Stock,30 Minutes,https://blinkit.com/product/too-yumm!-masala-sev
Blinkit,Haldiram's Mixture,Haldiram's,400,100,5,In Stock,30 Minutes,https://blinkit.com/product/haldiram's-mixture
Zepto,Kurkure Bikaneri Bhujia,Kurkure,400,70,25,Out of Stock,2 Days,https://zepto.com/product/kurkure-bikaneri-bhujia
Swiggy Instamart,Balaji Wafers Masala Sev,Balaji Wafers,200,50,10,In Stock,30 Minutes,https://swiggyinstamart.com/product/balaji-wafers-masala-sev
Swiggy Instamart,Haldiram's Masala Sev,Haldiram's,250,60,20,Out of Stock,10 Minutes,https://swiggyinstamart.com/product/haldiram's-masala-sev
Flipkart Grocery,Kurkure Navratan Mix,Kurkure,400,50,20,Out of Stock,Next Day,https://flipkartgrocery.com/product/kurkure-navratan-mix
Zepto,Balaji Wafers Navratan Mix,Balaji Wafers,250,80,20,In Stock,30 Minutes,https://zepto.com/product/balaji-wafers-navratan-mix
Blinkit,Too Yumm! Bikaneri Bhujia,Too Yumm!,350,80,5,Out of Stock,15 Minutes,https://blinkit.com/product/too-yumm!-bikaneri-bhujia
Flipkart Grocery,Too Yumm! Mixture,Too Yumm!,400,50,20,Out of Stock,Next Day,https://flipkartgrocery.com/product/too-yumm!-mixture
Blinkit,Too Yumm! Masala Sev,Too Yumm!,250,40,20,In Stock,10 Minutes,https://blinkit.com/product/too-yumm!-masala-sev
BigBasket,Bikano Bikaneri Bhujia,Bikano,100,40,10,Out of Stock,2 Days,https://bigbasket.com/product/bikano-bikaneri-bhujia
Blinkit,Too Yumm! Mixture,Too Yumm!,100,70,10,In Stock,2 Days,https://blinkit.com/product/too-yumm!-mixture
Amazon.in,Bikano Masala Sev,Bikano,400,30,15,Out of Stock,Next Day,https://amazon.in.com/product/bikano-masala-sev
BigBasket,Balaji Wafers Navratan Mix,Balaji Wafers,400,70,10,In Stock,Next Day,https://bigbasket.com/product/balaji-wafers-navratan-mix
Zepto,Bingo! Aloo Bhujia,Bingo!,400,100,20,Out of Stock,2 Days,https://zepto.com/product/bingo!-aloo-bhujia
BigBasket,Bikano Aloo Bhujia,Bikano,350,90,20,In Stock,2 Days,https://bigbasket.com/product/bikano-aloo-bhujia
Flipkart Grocery,Bingo! Chakli,Bingo!,200,100,10,Out of Stock,Next Day,https://flipkartgrocery.com/product/bingo!-chakli
Amazon.in,Kurkure Chakli,Kurkure,150,90,25,In Stock,Next Day,https://amazon.in.com/product/kurkure-chakli
Flipkart Grocery,Bikano Moong Dal,Bikano,100,90,5,In Stock,30 Minutes,https://flipkartgrocery.com/product/bikano-moong-dal
BigBasket,Bikano Chakli,Bikano,350,70,15,Out of Stock,2 Days,https://bigbasket.com/product/bikano-chakli
Swiggy Instamart,Kurkure Mixture,Kurkure,150,70,25,In Stock,30 Minutes,https://swiggyinstamart.com/product/kurkure-mixture
Swiggy Instamart,Haldiram's Chakli,Haldiram's,250,80,25,In Stock,Next Day,https://swiggyinstamart.com/product/haldiram's-chakli
Blinkit,Bingo! Bikaneri Bhujia,Bingo!,400,70,10,Out of Stock,30 Minutes,https://blinkit.com/product/bingo!-bikaneri-bhujia
Flipkart Grocery,Open Secret Aloo Bhujia,Open Secret,100,80,10,Out of Stock,2 Days,https://flipkartgrocery.com/product/open-secret-aloo-bhujia
Amazon.in,Open Secret Chakli,Open Secret,250,30,5,Out of Stock,10 Minutes,https://amazon.in.com/product/open-secret-chakli
Blinkit,Haldiram's Bikaneri Bhujia,Haldiram's,150,40,15,Out of Stock,10 Minutes,https://blinkit.com/product/haldiram's-bikaneri-bhujia
Swiggy Instamart,Too Yumm! Navratan Mix,Too Yumm!,100,40,10,Out of Stock,15 Minutes,https://swiggyinstamart.com/product/too-yumm!-navratan-mix
Amazon.in,Too Yumm! Navratan Mix,Too Yumm!,300,70,25,Out of Stock,Next Day,https://amazon.in.com/product/too-yumm!-navratan-mix
Blinkit,Bingo! Chakli,Bingo!,150,90,5,Out of Stock,Next Day,https://blinkit.com/product/bingo!-chakli
Flipkart Grocery,Haldiram's Mixture,Haldiram's,350,60,5,In Stock,Next Day,https://flipkartgrocery.com/product/haldiram's-mixture
Blinkit,Too Yumm! Chakli,Too Yumm!,150,100,20,In Stock,15 Minutes,https://blinkit.com/product/too-yumm!-chakli
Flipkart Grocery,Bikano Masala Sev,Bikano,150,90,5,Out of Stock,15 Minutes,https://flipkartgrocery.com/product/bikano-masala-sev
Swiggy Instamart,Open Secret Bikaneri Bhujia,Open Secret,100,40,5,In Stock,15 Minutes,https://swiggyinstamart.com/product/open-secret-bikaneri-bhujia
Flipkart Grocery,Open Secret Aloo Bhujia,Open Secret,350,30,10,Out of Stock,15 Minutes,https://flipkartgrocery.com/product/open-secret-aloo-bhujia
