Content	Loyalty Indicators
"Apne bhai-bheno ko tag karo! Remind them it’s their turn to serve 😉
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	YES
"Taste jo ghar ki yaad dilaye 🏠
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	YES
"Manager ko complain kar sakte hai kya? 🤔
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	NO
"Aasman se keh do, India waalo ke liye #space banaye rakhein 🤭
 #ISRO ##SpaDex #Proud
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	NO
"Mungfli di khushbu te gur di mithaas,
 Lohri da tyohaar laaye khushiyan naal saath!
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp #lohri #lohri2025 #Sankranti"	YES
"Yaad hai bachpan ki khatti meethi Anardana goli? Bachpan ki yaad taaza karne ke liye #BadePyaarSeBanayaHai ❤
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	YES
"Wish you warm moments, sweet memories! 
 
 Merry Christmas from Haldiram's 🎄 
 
 #haldirams #christmas #christmastree #christmascookies #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	YES
"Jingle bells ❌ dil mein baji guitar ✅
  
 #haldirams #christmas #christmastree #christmascookies #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	NO
"Jingle bells, jingle bells, jingles all the ways
 Santa clause bhi confused hai with weird wishes these days 🙃 
 
 #haldirams #christmas #christmastree #christmascookies #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #fyp"	NO
"Shaadi ke ladoo ka toh pata nahi, boondi ke ladoo hum bhijwa denge ✨🤌
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings #shaadiaesthetic #shaadimeunzarooraana #shaadiwaalaghar #haldi #mehendi #roka"	YES
"Inki love story ki sweet beginning aur happy ending - dono ho gayi. Aapki foodie love story kya hai? 
 Share in the comments!
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings #shaadiaesthetic"	YES
"Foodie hai yeh baaraat. Haldiram’s ke ghar ki shaadi mein aayein le haathon mein haath. ❤️
 
 Jeevan saathi - #ShaadiWaaleGhar aur foodie man ki partyyy.
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings"	YES
"Hamare liye sabse precious shagun aapki mithaas bhari smile hai 😊
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings #shaadiaesthetic #shaadimeunzarooraana #shaadiwaalaghar #haldi #mehendi #roka #sangeet"	YES
"Foodie hai yeh baaraat. Haldiram’s ke ghar ki shaadi mein aayein, le haathon mein haath. ❤️
 
 Jeevan saathi - #ShaadiWaaleGhar aur foodie man ki partyyy.
 
 #haldirams #haldiramsnagpur #bhujia #laddu #shaadikeladdu #shaadiseason #weddingvibes #weddinginspiration #indianweddings"	YES
"Office mein toh mithaai bat gayi hai. Aapne khaayi ya nahi?
 
 Haldiram’s ke #ShaadiWaaleGhar me sabko aana hai. 
 
 #haldirams #haldiramsnagpur #shaadikeladdu #shaadiseason #shaadiwaalaghar #ShaadiMatlabHaldirams"	YES
"Rasmon ki taiyaari hai, mithaaiyon ki baari hai
 
 Haldiram’s ke #ShaadiWaaleGhar coming soon…
 
 #Haldirams #shaadiwaaleghar #shaadiseason #Haldiramsnagpur"	YES
"You know winter is here when tiffin mein papad ki jagah Murukku aur Bhakarwadi pack hone lagte hain because mummy bhi aaj late uthe the. 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #WinterAhead #fyp"	YES
"Aaj ka motivation: Be like Boondi ke ladoo.
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #boondiladoo #boondikaladoo #fyp"	NO
"There's love and then there's Kachori LOVE 💕. Tag that BIGGEST KACHORI LOVER.
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #kachori #kachorichaat #kachorirecipe #fyp"	NO
"Thakaan ho ya stress ka vaar, Haldiram's Buttermilk hai aapke har mood ke liye taiyaar!
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #matkajhatka #buttermilk #buttermilklovers #chaas #fyp"	NO
"Kaju Rolls #BadePyaarSeBanayaHai iss winter season ke liye!
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #kajurolls #fyp"	YES
"Tum bas bataao kyaa chahiye, sab ready hai aap ke liye 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #kachori #milkcake #bananachips #tastynuts #fyp"	YES
"Second day of fun ke liye ready? Aaj aap prashad mai kya leke jaa rahe ho? 
 
 #Haldirams #navratri #navratrispecial #navratri2024 #Kajukatli"	YES
"Laddo banto, khushiyan manao! Vo din finally aa gaya jiska hume last dussehra se intezar tha!
 
 A very happy Navratri, everyone! 🌼
 
 #Haldirams #navratri #navratrispecial #navratri2024"	YES
"Tell us in the comments 😎
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Gulab Jamun, Bhujia, popcorn, salted popcorn, butter popcorn]"	NO
"Pocket sized Bhujia packets, har jagah le jaao, kya pataa kahan jaroorat pad jaaye! 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #snacksmatlabhaldirams"	NO
"Chai mein duboke, ya coffee ke saath, Haldiram's cookies khao har beverage ke saath, Kyunki #BadePyaarSeBanayaHai
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts"	YES
"Bas aise hi ek ek karke saare snacks kab khatam ho jaate hai, samaj hi nahi aata! 
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams]"	YES
"Khaane ke baad dessert toh banta hain na? ☺️
 
 #haldirams #haldiramsnagpur #bhujia #saltedpopcorn #chiwda #soyasticks #gulabjamun #ladoo #cookies #tastynuts #kajukatli
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Gulab Jamun, Bhujia, kaju katli]"	YES
"Concert tickets book nahi ho paaye?
 
 Koi baat nahi! 
 
 Now you have an extra budget for snacks 😋 
 
 #coldplay #coldplayconcert #concerttickets #coldplaytickets #haldiramsfood #Haldirams #haldiramsnagpur #HaldiramLove"	NO
"Bappa jald hi aa rahe hai, sabke vighna harne, aur modak khane ke liye!
 
 #GaneshaChaturthi #Modak #Ladoo #MotichoorLadoo #Haldirams #HaldiramsNagpur
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Ganesha puja, Besan ladoo, Coconut ladoo, Modak]"	NO
"Har dessert ki shaan badhaye, Haldiram's Gulab Jamun. Kyunki, #badepyaarsebanayahai
 
 #haldirams #haldiramsnagpur #gulabjamun #gulabjamuncheesecake
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams, Gulab Jamun, Gulab Jamun Cheesecake, Gulab Jamun Cake]"	YES
"Tag the first person jo khaane se zyada snacks khaata hai 😂
 
 #haldiramsfood #haldirams #haldiramsnagpur #snacksmatlabhaldirams
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food]"	NO
"Kya aap bhi dal chawal ke saath Aloo Bhujia khaate ho?
 
 #dalchawal #haldirams #haldiramsnagpur #bhujia
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Haldirams]"	YES
"Nobody will remember:
 - Your Salary
 - How ‘’busy you were
 - How many hours you worked
 
 People will remember:
 
 - Birthday ke din Gulab Jamun khilata tha"	YES
"Strengthen your bond with Rakhi ki rasmein and Haldiram’s ki mithaiyan 🤗
 
 #HaldiramsRakhi #RakhiWithHaldirams #SweetestRakhiEver #BhaiBehenLove #RakshaBandhan
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Rakhi, Raksha Bandhan, Rakhi Special, Sibling Bond]"	YES
"Saal bhar ladaiyan chahe jitni bhi ho,
 Haldiram's se sab aate hain close!
 
 #haldirams #haldiramsnagpur #rakhi #rakshabandhan"	YES
"Iss baar sirf Soan Cake hogi mithai me, kyunki #badepyaarsebanayahai sirf iss tyohar ke liye 🤗
 
 #haldirams #haldiramsnagpur #rakhi #RakshaBandhan
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Rakhi, Raksha Bandhan, Soan Cake, Soan Papdi, Rakhi Special]"	YES
"We went around asking folks about the absolute best things at Haldiram's! Jump into the chat and spill the beans on your favorites below!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #happiness #snacks #haldiramsweets #voxpop #favourite"	NO
"From the creamy embrace of Rabdi to the sugary swirls of Jalebi – this is a love story your taste buds won't forget!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsnamkeen #snacks #haldiramsfood #haldiramsweets #happiness"	YES
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customercare@haldiram.com/8588844017
 
 Your feedback is important and we're committed to making things right"	NO
"Jump into the delicious world of Haldiram's snacks. It's a winning combination!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #snacks #haldiramsfood #haldiramsnamkeen #haldiramsweets #soyastick"	YES
"Thank you for your positive feedback! We're delighted to hear that you enjoyed our products and service.
 
 Your support means a lot to us. We look forward to serving you again soon."	NO
"Thank you for your positive feedback! We're delighted to hear that you enjoyed our products and service.
 
 Your support means a lot to us. We look forward to serving you again soon."	NO
"Your board game piece may or may not reach home, but our snacks definitely will!
 
 #HaldiramsNagpur #haldiramsnacks #Haldirams #MyHaldiramsMoment #haldiramsweets #haldiramsfood #Ludo #lemonbhel #aloobhujia #soyasticks #faralichiwda #snacks #haldiramsnamkeen"	NO
"No matter the occasion, we are always stocked with Haldiram’s!
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #aloobhujia #haldiramsweets"	YES
"Satisfy your appetite for fun with our food items crossword – a flavourful fusion of fun and feast!
 Happy solving.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #punefood #punefoodie #crossword #crosswordpuzzle #CrosswordChallenge"	NO
"Get ready for a delicious journey! Haldiram's is pulling into Pune Station with its first-ever train-themed restaurant. So what are you waiting for? Hop the flavour express now!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #TrainBogie"	YES
"On World Television Day celebrate with your favourite shows and a side of snacks, a perfect duo for relaxation and enjoyment.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #nagpur #haldiramsweets #haldiramsfood #worldtvday #worldtelevisionday #aloobhujia"	YES
"Let the bond of brothers shine as
 bright as the lanterns with Haldiram's this Diwali!
 
 #HaldiramsNagpur #haldiramsnacks #Haldirams
 #MyHaldiramsMoment #healthytreats #diwalispecial
 #diwali #festive #festivetime #familytime #kajukatli"	YES
"Virat giving us 49 reasons to smile and celebrate!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #viratfans #viratkohli #cricket #worldcup #WorldCup23 #TeamIndia"	YES
"This diwali Haldiram's is here for your festive shopping to snacking.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood"	YES
"We're sorry to hear about your recent experience with Haldiram. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at support@haldirams.com
 
 Your feedback is important, and we're committed to making things right."	NO
Thank you for reaching out. We appreciate your engagement. If you have any questions or feedback related to Haldiram's products or services, please feel free to ask, and we'd be happy to assist you.	NO
"For any queries and questions please drop a mail to support@haldirams.com or call us on +917122779451.
 Web Link: 
 .
 #haldirams #festival"	NO
We appreciate your feedback. To better assist you, could you please provide more details about your experience or concern? We are committed to addressing and resolving any issues. Please feel free to share more information, and we'll work to make things right.	NO
"Give your taste buds a swirl of flavours with cranberry infused chaat! Savour the cranberry delights at Haldiram’s!
 
 
 
 #Haldirams #HaldiramsNagpur #USCranberriesIndia #Cranberries #Chaat #haldiramsfood"	YES
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customercare@haldirams.com
 
 Your feedback is important, and we're committed to making things right."	NO
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customer.relations@haldirams.com 
 
 Your feedback is important, and we're committed to making things right."	NO
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customer.relations@haldirams.com
 
 Your feedback is important, and we're committed to making things right."	NO
"The battlefield is set, and so are we!
 Get ready for an epic clash as
 India faces Pakistan in the World Cup. Haldiram's is painted in blue to cheer for Team India. Let's create unforgettable memories today!
 #INDvsPAK #CricketMania #HaldiramsCheer"","",https://pbs.twimg.com/ext_tw_video_thumb/1713148052427427840/pu/img/djU2eI0SHMpUF2FY.jpg"""	YES
"From nuts to sweets in a snap! Haldiram’s Kaju Katli is the flavour of all seasons!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #myhaldiramsmoment #snacks"	YES
"A real breakfast lover would know the difference in a heartbeat!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #snacks #nagpur #myhaldiramsmoment #aloobhuji #aloobhujia #aloobhujiya #breakfast #poha #pohalover"	YES
Thank you for sharing your feedback. We appreciate your input and will certainly take it into consideration. Our aim is to continually improve our offerings to provide the best value for our customers. Your input is valuable in helping us make necessary adjustments.	YES
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at support@haldirams.com.
 
 Your feedback is important, and we're committed to making things right."	YES
"We appreciate your feedback. To better assist you, could you please provide more details about your experience or concern? We are committed to addressing and resolving any issues.
 
 Please feel free to share more information, and we'll work to make things right."	YES
"We appreciate your feedback. To better assist you, could you please provide more details about your experience or concern? We are committed to addressing and resolving any issues.
 
 Please feel free to share more information, and we'll work to make things right."	YES
"The definition of happiness for tea lovers!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #meandmysquad #nagpur #myhaldiramsmoment #snacks #soyasticks #soyachips #murukkus #papad #methisticks"	YES
"The pista on the motichoor ladoo is where the real magic happens.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #realdeal #motichoor #motichoorladdoo #motichoorladoo #therealdeal #ladoo #sweets #sweetshop #haldirams #haldiramsweets #nagpur"	YES
"Thank you for your positive feedback! We're delighted to hear that you enjoyed our products and service.
 
 Your support means a lot to us. We look forward to serving you again soon."	YES
"Adding that extra crunch to dull moments!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #meandmysquad #soyasticks #aloobhujia"	YES
"For the very first time, Haldiram's is proud to announce that we have set up shop near Lalbaug Cha Raja to make this festival even more special.
 Come, indulge in the flavors of devotion!
 Don't miss out, visit our stall today!
 
 #haldiramsnacks #HaldiramsNagpur #MyHaldiramsMoment"	YES
"May your Janmashtami be filled with sweet blessings and treats! Happy Janmashtami!
 
 #MyHaldiramsMoment #haldirams #HaldiramsNagpur #haldiramsnagpur #janmastami #janmashtami #krishna #krishnalove #krishnaleela"	YES
"Get nutty with us! Discover the perfect blend of flavours in our Nutty Squad selection.
 
 #haldiram #HaldiramsNagpur #haldiramsnagpur #roastedpeanuts #aloobhujiya #Myhaldiramsnagpur #foodiefrenzy #spicypeanuts #kaju #snacks"	YES
"To all those teachers who made even the toughest of lessons sweet and enjoyable for us!
 Happy Teachers' Day!
 
 #HaldiramsNagpur #haldiram #haldiramsnagpur #teachers #teachersday #aloobhujiya #peanuts #roastedpeanuts"	YES
"Bond with your siblings over delicious
 snacks this Rakshabandhan!
 
 #Haldirams #haldiramsnagpur #HaldiramsNagpur
 #MyHaldiramsMoment #haldirams #hamper
 #festivalseason #foodiefrenzy #haldirams"	YES
I don't think getting caught is the fear but not being able to savour your favourite soya sticks is an accountable crime!	YES
"No dish in this world that Boondi cannot make better!
 
 #Halirams #haldiramsnagur #myhaldirams"	YES
"Don't mind me just casually flaunting my move for Chaas!
 
 #Haldirams #haldiramsnagpur #myhaldirams"	YES
"Not ready with your Rakshabandhan present yet?
 Well, you’ve come to the right place!
 Buy your sibling’s favourite Haldiram’s combo from the link in our bio!
 
 #HaldiramsNagpur #haldirams #indianfood #rakshabandhan #roastcampaign #win #sibling #brothersister #rakhi"	YES
"The only difference between good dreams and nightmares is the presence of Kaju Katli.
 #HaldiramsNagpur #MyHaldiramsMoment #Haldirams
 #haldirams #kajukatli #kajukatlilovers #kajukatri"	YES
"Taking your tastebuds to new heights!
 .
 .
 .
 #Haldirams #HaldiramsNagpur #MyHaldiramsMoment #Chandrayaan3 #Rasgulla"	YES
"Leave a lasting impression on your first date!
 .
 .
 .
 #Haldirams #HaldiramsNagour #MyHaldiramsMoment #HingedAtHaldirams"	YES
"Nothing much, just AI frying up the newest place for sweet gossip!
 .
 .
 .
 #Threads #HaldiramsNagpur #Haldirams #MyHaldiramsMoment #AI"	YES
"My appetite for food lacks in comparison to my cravings
 .
 .
 .
 #Haldirams #HaldiramsNagpur #MyHaldiramsMoment #snacking"	YES
