Content	Feedback (Positive and Negative)
"Saal bhar ladaiyan chahe jitni bhi ho,
 Haldiram's se sab aate hain close!
 
 #haldirams #haldiramsnagpur #rakhi #rakshabandhan"	Positive
"Iss baar sirf Soan Cake hogi mithai me, kyunki #badepyaarsebanayahai sirf iss tyohar ke liye 🤗
 
 #haldirams #haldiramsnagpur #rakhi #RakshaBandhan
 
 [Khushiyan Ho Toh Haldirams, Haldirams Nagpur, Haldirams food, Rakhi, Raksha Bandhan, Soan Cake, Soan Papdi, Rakhi Special]"	Positive
"We went around asking folks about the absolute best things at Haldiram's! Jump into the chat and spill the beans on your favorites below!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #happiness #snacks #haldiramsweets #voxpop #favourite"	Positive
"From the creamy embrace of Rabdi to the sugary swirls of Jalebi – this is a love story your taste buds won't forget!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsnamkeen #snacks #haldiramsfood #haldiramsweets #happiness"	Positive
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customercare@haldiram.com/8588844017
 
 Your feedback is important and we're committed to making things right"	Negative
"Jump into the delicious world of Haldiram's snacks. It's a winning combination!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #snacks #haldiramsfood #haldiramsnamkeen #haldiramsweets #soyastick"	Negative
"Thank you for your positive feedback! We're delighted to hear that you enjoyed our products and service.
 
 Your support means a lot to us. We look forward to serving you again soon."	Negative
"Thank you for your positive feedback! We're delighted to hear that you enjoyed our products and service.
 
 Your support means a lot to us. We look forward to serving you again soon."	Positive
"Your board game piece may or may not reach home, but our snacks definitely will!
 
 #HaldiramsNagpur #haldiramsnacks #Haldirams #MyHaldiramsMoment #haldiramsweets #haldiramsfood #Ludo #lemonbhel #aloobhujia #soyasticks #faralichiwda #snacks #haldiramsnamkeen"	Positive
"No matter the occasion, we are always stocked with Haldiram’s!
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #aloobhujia #haldiramsweets"	Positive
"Satisfy your appetite for fun with our food items crossword – a flavourful fusion of fun and feast!
 Happy solving.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #punefood #punefoodie #crossword #crosswordpuzzle #CrosswordChallenge"	Positive
"Get ready for a delicious journey! Haldiram's is pulling into Pune Station with its first-ever train-themed restaurant. So what are you waiting for? Hop the flavour express now!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #TrainBogie"	Positive
"On World Television Day celebrate with your favourite shows and a side of snacks, a perfect duo for relaxation and enjoyment.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #nagpur #haldiramsweets #haldiramsfood #worldtvday #worldtelevisionday #aloobhujia"	Positive
"Let the bond of brothers shine as
 bright as the lanterns with Haldiram's this Diwali!
 
 #HaldiramsNagpur #haldiramsnacks #Haldirams
 #MyHaldiramsMoment #healthytreats #diwalispecial
 #diwali #festive #festivetime #familytime #kajukatli"	Positive
"Virat giving us 49 reasons to smile and celebrate!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood #viratfans #viratkohli #cricket #worldcup #WorldCup23 #TeamIndia"	Positive
"This diwali Haldiram's is here for your festive shopping to snacking.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #haldiramsfood"	Positive
"We're sorry to hear about your recent experience with Haldiram. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at support@haldirams.com
 
 Your feedback is important, and we're committed to making things right."	Positive
Thank you for reaching out. We appreciate your engagement. If you have any questions or feedback related to Haldiram's products or services, please feel free to ask, and we'd be happy to assist you.	Positive
"For any queries and questions please drop a mail to support@haldirams.com or call us on +917122779451.
 Web Link: 
 .
 #haldirams #festival"	Positive
We appreciate your feedback. To better assist you, could you please provide more details about your experience or concern? We are committed to addressing and resolving any issues. Please feel free to share more information, and we'll work to make things right.	Positive
"Give your taste buds a swirl of flavours with cranberry infused chaat! Savour the cranberry delights at Haldiram’s!
 
 
 
 #Haldirams #HaldiramsNagpur #USCranberriesIndia #Cranberries #Chaat #haldiramsfood"	Positive
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customercare@haldirams.com
 
 Your feedback is important, and we're committed to making things right."	Positive
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customer.relations@haldirams.com 
 
 Your feedback is important, and we're committed to making things right."	Positive
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at customer.relations@haldirams.com
 
 Your feedback is important, and we're committed to making things right."	Positive
"The battlefield is set, and so are we!
 Get ready for an epic clash as
 India faces Pakistan in the World Cup. Haldiram's is painted in blue to cheer for Team India. Let's create unforgettable memories today!
 #INDvsPAK #CricketMania #HaldiramsCheer"","",https://pbs.twimg.com/ext_tw_video_thumb/1713148052427427840/pu/img/djU2eI0SHMpUF2FY.jpg"""	Positive
"From nuts to sweets in a snap! Haldiram’s Kaju Katli is the flavour of all seasons!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #myhaldiramsmoment #snacks"	Positive
"A real breakfast lover would know the difference in a heartbeat!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #snacks #nagpur #myhaldiramsmoment #aloobhuji #aloobhujia #aloobhujiya #breakfast #poha #pohalover"	Positive
Thank you for sharing your feedback. We appreciate your input and will certainly take it into consideration. Our aim is to continually improve our offerings to provide the best value for our customers. Your input is valuable in helping us make necessary adjustments.	Positive
"We're sorry to hear about your recent experience with Haldiram's. Please share more details about your concern, and we'll work diligently to resolve it. You can reach us at support@haldirams.com.
 
 Your feedback is important, and we're committed to making things right."	Positive
"We appreciate your feedback. To better assist you, could you please provide more details about your experience or concern? We are committed to addressing and resolving any issues.
 
 Please feel free to share more information, and we'll work to make things right."	Negative
"We appreciate your feedback. To better assist you, could you please provide more details about your experience or concern? We are committed to addressing and resolving any issues.
 
 Please feel free to share more information, and we'll work to make things right."	Negative
"The definition of happiness for tea lovers!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #meandmysquad #nagpur #myhaldiramsmoment #snacks #soyasticks #soyachips #murukkus #papad #methisticks"	Positive
"The pista on the motichoor ladoo is where the real magic happens.
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #realdeal #motichoor #motichoorladdoo #motichoorladoo #therealdeal #ladoo #sweets #sweetshop #haldirams #haldiramsweets #nagpur"	Positive
"Thank you for your positive feedback! We're delighted to hear that you enjoyed our products and service.
 
 Your support means a lot to us. We look forward to serving you again soon."	Positive
"Adding that extra crunch to dull moments!
 
 #HaldiramsNagpur #haldiramsnacks #MyHaldiramsMoment #Haldirams #meandmysquad #soyasticks #aloobhujia"	Positive
"For the very first time, Haldiram's is proud to announce that we have set up shop near Lalbaug Cha Raja to make this festival even more special.
 Come, indulge in the flavors of devotion!
 Don't miss out, visit our stall today!
 
 #haldiramsnacks #HaldiramsNagpur #MyHaldiramsMoment"	Positive
"May your Janmashtami be filled with sweet blessings and treats! Happy Janmashtami!
 
 #MyHaldiramsMoment #haldirams #HaldiramsNagpur #haldiramsnagpur #janmastami #janmashtami #krishna #krishnalove #krishnaleela"	Positive
"Get nutty with us! Discover the perfect blend of flavours in our Nutty Squad selection.
 
 #haldiram #HaldiramsNagpur #haldiramsnagpur #roastedpeanuts #aloobhujiya #Myhaldiramsnagpur #foodiefrenzy #spicypeanuts #kaju #snacks"	Positive
"To all those teachers who made even the toughest of lessons sweet and enjoyable for us!
 Happy Teachers' Day!
 
 #HaldiramsNagpur #haldiram #haldiramsnagpur #teachers #teachersday #aloobhujiya #peanuts #roastedpeanuts"	Positive
"Bond with your siblings over delicious
 snacks this Rakshabandhan!
 
 #Haldirams #haldiramsnagpur #HaldiramsNagpur
 #MyHaldiramsMoment #haldirams #hamper
 #festivalseason #foodiefrenzy #haldirams"	Positive
I don't think getting caught is the fear but not being able to savour your favourite soya sticks is an accountable crime!	Positive
"No dish in this world that Boondi cannot make better!
 
 #Halirams #haldiramsnagur #myhaldirams"	Positive
"Don't mind me just casually flaunting my move for Chaas!
 
 #Haldirams #haldiramsnagpur #myhaldirams"	Positive
"Not ready with your Rakshabandhan present yet?
 Well, you’ve come to the right place!
 Buy your sibling’s favourite Haldiram’s combo from the link in our bio!
 
 #HaldiramsNagpur #haldirams #indianfood #rakshabandhan #roastcampaign #win #sibling #brothersister #rakhi"	Positive
"The only difference between good dreams and nightmares is the presence of Kaju Katli.
 #HaldiramsNagpur #MyHaldiramsMoment #Haldirams
 #haldirams #kajukatli #kajukatlilovers #kajukatri"	Positive
"Taking your tastebuds to new heights!
 .
 .
 .
 #Haldirams #HaldiramsNagpur #MyHaldiramsMoment #Chandrayaan3 #Rasgulla"	Positive
"Leave a lasting impression on your first date!
 .
 .
 .
 #Haldirams #HaldiramsNagour #MyHaldiramsMoment #HingedAtHaldirams"	Positive
"Nothing much, just AI frying up the newest place for sweet gossip!
 .
 .
 .
 #Threads #HaldiramsNagpur #Haldirams #MyHaldiramsMoment #AI"	Positive
"My appetite for food lacks in comparison to my cravings
 .
 .
 .
 #Haldirams #HaldiramsNagpur #MyHaldiramsMoment #snacking"	Positive
