Sr. No.,Platform,Customer Handle,Payment Method,Transaction Outcome,Issue Type,Payment Preferences,Sentiment,Date,Comment/Feedback
26,Swiggy,@SnackAttack123,Credit Card,Failed,Payment failure,Credit Card preferred,Negative,2025-01-23,"""Credit card transaction failed twice. No idea why it didn't work."""
27,Amazon,@BiteOfIndia,Debit Card,Success,No issue,Debit Card preferred,Positive,2024-09-05,"""Debit card worked perfectly for payment, fast checkout."""
28,Zomato,@ChiliLover,UPI,Success,No issue,UPI preferred,Positive,2024-12-28,"""UPI payments are always easy and quick, never had a problem."""
29,Haldiram.com,@HungerTamer,Paytm,Failed,Payment failure,Paytm preferred,Negative,2025-02-12,"""Paytm payment failed, had to go through another method."""
30,Swiggy,@QuickMealFan,Cash on Delivery,Success,No issue,COD preferred,Positive,2024-11-20,"""COD is great for me, especially when I don't want to make upfront payments."""
31,Zomato,@BiryaniJunkie,Google Pay,Success,No issue,Google Pay preferred,Positive,2024-08-14,"""Google Pay is my go-to option for online payments."""
32,Haldiram.com,@SnackMaster,UPI,Failed,Payment failure,UPI preferred,Negative,2024-09-30,"""UPI failed and I couldn’t complete my order. Very disappointing."""
33,Swiggy,@SweetTooth89,Debit Card,Success,No issue,Debit Card preferred,Positive,2024-11-10,"""Debit card was fast and worked fine. I prefer this method for quick orders."""
34,Amazon,@FoodExplorer25,Credit Card,Success,No issue,Credit Card preferred,Positive,2025-01-07,"""My credit card transaction was processed in seconds, no issues at all."""
35,Haldiram.com,@ChaatKing,Google Pay,Failed,Payment failure,Google Pay preferred,Negative,2025-01-20,"""Google Pay kept failing, had to opt for a different payment option."""
36,Zomato,@SnackAttacker,Credit Card,Success,No issue,Credit Card preferred,Positive,2024-12-05,"""I love paying with my credit card, it's fast and secure."""
37,Swiggy,@CrispyFanatic,Paytm,Success,No issue,Paytm preferred,Positive,2025-02-04,"""Paytm is my top choice for payments, always smooth and easy."""
38,Haldiram.com,@SweetsSeeker,Debit Card,Success,No issue,Debit Card preferred,Positive,2024-07-30,"""Using debit card for payment was seamless. No issues at all."""
39,Amazon,@FoodieFanatics,Cash on Delivery,Success,No issue,COD preferred,Positive,2024-10-25,"""I prefer COD for convenience. Delivery was on time, no issues with payment."""
40,Zomato,@TastyTreats,Google Pay,Failed,Payment failure,Google Pay preferred,Negative,2025-03-03,"""Google Pay didn’t work, error message appeared while paying."""
41,Haldiram.com,@BiteMeHaldiram,Credit Card,Success,No issue,Credit Card preferred,Positive,2024-11-08,"""Fast payment through credit card, never faced any issues."""
42,Swiggy,@SizzlingTastes,Debit Card,Failed,Payment failure,Debit Card preferred,Negative,2024-12-12,"""Debit card failed twice, couldn’t complete the order, not happy with the experience."""
43,Haldiram.com,@SnacksOnTheGo,UPI,Success,No issue,UPI preferred,Positive,2025-02-28,"""UPI payments are quick, always a smooth experience."""
44,Zomato,@DeliciousMunch,Cash on Delivery,Success,No issue,COD preferred,Positive,2024-08-01,"""COD is always the easiest option for me. Never had any issues."""
45,Swiggy,@FoodieAdventures,Paytm,Success,No issue,Paytm preferred,Positive,2024-09-18,"""Paytm works every time, I trust it for hassle-free payments."""
46,Haldiram.com,@StreetFoodie,Credit Card,Failed,Payment failure,Credit Card preferred,Negative,2025-01-02,"""Credit card payment failed and I couldn’t complete my order. Not happy."""
47,Swiggy,@ChocoLover2024,Debit Card,Success,No issue,Debit Card preferred,Positive,2024-10-15,"""Debit card payments are always smooth, I prefer them over others."""
48,Amazon,@GourmetGuru,Paytm,Failed,Payment failure,Paytm preferred,Negative,2024-09-09,"""Paytm payment failed. I had to redo the order using another method."""
49,Haldiram.com,@SnacksOverload,Google Pay,Success,No issue,Google Pay preferred,Positive,2025-03-02,"""Google Pay worked fine for me, and the transaction was fast."""
50,Zomato,@FoodForLife,UPI,Failed,Payment failure,UPI preferred,Negative,2025-02-20,"""UPI failed again during checkout, it was a very inconvenient experience."""
